user_id,line_no,station_no,on_site_time,lng,lat,run_id,station_id,dest,transfer
5.45048E+22,8002,8,1602226623,109.42706,24.34087,18743719,17240,0,0
5.45048E+22,901,20,1602218443,109.39619,24.30726,18742455,31414,0,0
5.45048E+22,901,22,,109.40576,24.30706,18742455,31414,1,1
5.45048E+22,191,26,1602219902,109.40576,24.30706,18742730,31222,0,0
5.45048E+22,191,27,,109.40657,24.31848,18742730,31222,1,1
5.45048E+22,921,13,1602223988,109.40657,24.31848,18743130,29124,0,0
5.45048E+22,101,5,1602200282,109.32123,24.25997,18740584,27564,0,0
5.45048E+22,111,13,1602245683,109.39988,24.32515,18746054,28785,0,0
5.45048E+22,8002,25,1602245533,109.42723,24.33137,18744851,17259,0,0
5.45048E+22,8002,30,,109.42695,24.35323,18744851,17259,1,0
5.45048E+22,8002,5,1602252255,109.42695,24.35323,18746013,17237,0,0
5.45048E+22,191,24,1602199361,109.40854,24.29553,18739977,31220,0,0
5.45048E+22,101,6,1602234595,109.32446,24.25871,18744771,27565,0,0
5.45048E+22,21,7,1602231634,109.4064,24.31402,18743948,30432,0,0
5.45048E+22,921,6,1602203532,109.38003,24.33831,18741127,29117,0,0
5.45048E+22,661,13,1602225586,109.4074,24.34686,18743067,31373,0,0
5.45048E+22,301,21,1602238210,109.4125,24.31583,18744852,25796,0,0
5.45048E+22,361,10,1602198860,109.41026,24.33147,18740098,27422,0,0
5.45048E+22,361,13,,109.40442,24.32125,18740098,27422,1,1
5.45048E+22,281,16,1602199316,109.40442,24.32125,18740541,28260,0,0
5.45048E+22,281,31,,109.37312,24.26595,18740541,28260,1,0
5.45048E+22,281,1,1602235278,109.37312,24.26595,18743866,28245,0,0
5.45048E+22,281,15,,109.40883,24.31959,18743866,28245,1,1
5.45048E+22,51,22,1602238753,109.40883,24.31959,18744947,31148,0,0
5.45048E+22,361,14,1602238762,109.40639,24.31585,18745172,27426,0,0
